waktu mulai => start 2022-05-22 01:01:15
id user => 500; cust id => 0012662235; skip
id user => 501; cust id => 0029038775; skip
id user => 502; cust id => 0009555335; skip
id user => 503; cust id => 0029457603; skip
id user => 504; cust id => 0029335478; skip
id user => 505; cust id => 0021130646; skip
id user => 506; cust id => 0002347730; skip
id user => 507; cust id => 0008164733; skip
id user => 508; cust id => 0001291632; skip
id user => 509; cust id => 0006435846; skip
id user => 510; cust id => 0029528312; skip
id user => 511; cust id => 0001900620; skip
id user => 512; cust id => 0000031724; skip
id user => 513; cust id => 0029845278; skip
id user => 514; cust id => 0000213223; skip
id user => 515; cust id => 0001485259; skip
id user => 516; cust id => 0051220705; skip
id user => 517; cust id => 0000070326; skip
id user => 518; cust id => 0029441342; skip
id user => 519; cust id => 0039978754; skip
id user => 520; cust id => 0000411520; skip
id user => 521; cust id => 0000722629; skip
id user => 522; cust id => 0020308201; skip
id user => 523; cust id => 0009975723; skip
id user => 524; cust id => 0002292134; skip
id user => 525; cust id => 0; skip
id user => 526; cust id => 0015294218; skip
id user => 527; cust id => 0054022884; skip
id user => 528; cust id => 0050094713; skip
id user => 529; cust id => 0030666879; skip
id user => 530; cust id => 0046346730; skip
id user => 531; cust id => 0017926346; skip
id user => 532; cust id => 0047026786; skip
id user => 533; cust id => 0048180780; skip
id user => 534; cust id => 0002300630; skip
id user => 535; cust id => 0029551751; skip
id user => 536; cust id => 0003682622; skip
id user => 537; cust id => 0049732852; skip
id user => 538; cust id => 0044002715; skip
id user => 540; cust id => 0044098705; skip
id user => 541; cust id => 0000309625; skip
id user => 542; cust id => 0054982199; skip
id user => 543; cust id => 0026470088; skip
id user => 544; cust id => 0054981883; skip
id user => 545; cust id => 0033932732; skip
id user => 546; cust id => 0048824791; skip
id user => 547; cust id => 0001398254; skip
id user => 548; cust id => 0001470855; skip
id user => 549; cust id => 0000334128; skip
id user => 550; cust id => 0029558988; skip
id user => 551; cust id => 0004160818; skip
id user => 552; cust id => 0046484762; skip
id user => 553; cust id => 0048926729; skip
id user => 554; cust id => 0028573947; skip
id user => 556; cust id => 0030278113; skip
id user => 557; cust id => 0001543859; skip
id user => 558; cust id => 0000328526; skip
id user => 559; cust id => 0032576746; skip
id user => 560; cust id => 0006154280; skip
id user => 561; cust id => 0010006245; skip
id user => 562; cust id => 0049172737; skip
id user => 563; cust id => 0; skip
id user => 564; cust id => 0004774626; skip
id user => 565; cust id => 0054982223; skip
id user => 566; cust id => 0054982441; skip
id user => 567; cust id => 0036644706; skip
id user => 568; cust id => 0029629334; skip
id user => 569; cust id => 0029908126; skip
id user => 570; cust id => 0002028355; skip
id user => 571; cust id => 0001855022; skip
id user => 572; cust id => 0027704063; skip
id user => 573; cust id => 0007328438; skip
id user => 574; cust id => 0054982504; skip
id user => 575; cust id => 0054981643; skip
id user => 576; cust id => 0000636720; skip
id user => 577; cust id => 0047928759; skip
id user => 578; cust id => 0054982630; skip
id user => 579; cust id => 0000540120; skip
id user => 580; cust id => 0048267033; skip
id user => 581; cust id => 0003146941; skip
id user => 582; cust id => 0030399604; skip
id user => 583; cust id => 0029545001; skip
id user => 584; cust id => 0054981088; skip
id user => 585; cust id => 0000390724; skip
id user => 586; cust id => 0002352839; skip
id user => 587; cust id => 0021568886; skip
id user => 588; cust id => 0000717223; skip
id user => 589; cust id => 0000420224; skip
id user => 590; cust id => 0029154697; skip
id user => 591; cust id => 0002433241; skip
id user => 592; cust id => 0051494953; skip
id user => 593; cust id => 0000328724; skip
id user => 594; cust id => 0001248731; skip
id user => 595; cust id => 0004155727; skip
id user => 596; cust id => 0002412542; skip
id user => 597; cust id => 0037206703; skip
id user => 599; cust id => 0048906770; skip
id user => 600; cust id => 0030937254; skip
id user => 601; cust id => 0053802740; skip
id user => 602; cust id => 0054983543; skip
id user => 603; cust id => 0054982807; skip
id user => 604; cust id => 0003420353; skip
id user => 605; cust id => 0054156773; skip
id user => 606; cust id => 0009584269; skip
id user => 607; cust id => 0049130750; skip
id user => 608; cust id => 0033486739; skip
